#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.500000e+09	 21	     0	     2	3.888582796315764e-04	6.199999999999995e+04	1.075317899452642e+02
1.550000e+09	 21	     0	     9	7.474816444823477e-04	6.399999999999995e+04	1.737689521503708e+02
1.600000e+09	 21	     0	     6	5.968143859975479e-04	6.599999999999994e+04	2.384491070543337e+02
1.650000e+09	 21	     0	     9	9.724995992668202e-04	6.799999999999994e+04	3.028936431547759e+02
collision No.1	6.902857e+04[yr]	i=7, j=8	r_ij=5.128923759008321e-05	radius[7]+radius[8]=5.133485796325138e-05
dE_heat=-2.555435e-09	dE_grav=2.494189e-09	dE_c=-1.156743e-15	v_imp=1.690761e-01
1.700000e+09	 20	     0	    10	8.713475524753805e-04	6.999999999999994e+04	4.514820400386151e+02
1.750000e+09	 20	     0	    10	8.669436100892994e-04	7.199999999999994e+04	6.444226746129833e+02
1.800000e+09	 20	     0	     1	4.957258172797111e-04	7.399999999999994e+04	8.373001509038432e+02
1.850000e+09	 20	     0	     3	5.286527748389862e-04	7.699999999999993e+04	2.634126859743733e+01
1.900000e+09	 20	     0	     7	7.362804098514996e-04	7.899999999999993e+04	2.158278628590014e+02
1.950000e+09	 20	     0	     2	5.036198321041134e-04	8.099999999999993e+04	4.046206781009855e+02
2.000000e+09	 20	     0	    11	1.019661901299017e-03	8.299999999999993e+04	5.941218520655761e+02
2.050000e+09	 20	     0	     4	4.175274973633484e-04	8.499999999999993e+04	7.871428189718225e+02
2.100000e+09	 20	     0	     5	7.093348045489601e-04	8.699999999999991e+04	9.780702506899760e+02
2.150000e+09	 20	     0	     1	3.916600677391903e-04	8.999999999999991e+04	1.700577050271880e+02
2.200000e+09	 20	     0	    15	1.477692959644474e-03	9.199999999999991e+04	3.619916687958265e+02
2.250000e+09	 20	     0	     4	4.369855501346257e-04	9.399999999999991e+04	5.513763602827470e+02
collision No.2	9.498893e+04[yr]	i=1, j=4	r_ij=4.771037759695213e-05	radius[1]+radius[4]=4.766012096463059e-05
dE_heat=-2.316091e-09	dE_grav=1.719136e-09	dE_c=-2.206768e-15	v_imp=1.801533e-01
2.300000e+09	 19	     0	     7	7.352859414834087e-04	9.599999999999991e+04	9.559658202487868e+02
2.350000e+09	 19	     0	    10	9.425061744474384e-04	9.899999999999990e+04	4.133038610618700e+02
2.400000e+09	 19	     0	     3	4.493392286590093e-04	1.009999999999999e+05	8.707523145610145e+02
collision No.3	1.033242e+05[yr]	i=15, j=16	r_ij=5.873115056781081e-05	radius[15]+radius[16]=5.860759171838604e-05
dE_heat=-4.869223e-09	dE_grav=4.834530e-09	dE_c=-3.300414e-16	v_imp=1.913336e-01
2.450000e+09	 18	     0	     2	5.256014192670027e-04	1.039999999999999e+05	3.589505668213025e+02
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
2.500000e+09	 18	     0	    14	1.363194729516297e-03	1.059999999999999e+05	8.941255632619764e+02
2.550000e+09	 18	     0	    10	8.413592127414263e-04	1.089999999999999e+05	4.293408329595208e+02
2.600000e+09	 18	     0	     8	3.026574756950295e-03	1.109999999999999e+05	9.605321830727786e+02
2.650000e+09	 18	     0	     3	4.051422440220492e-04	1.139999999999999e+05	4.877264652669227e+02
2.700000e+09	 18	     0	     7	7.106276100276367e-04	1.169999999999999e+05	1.629222113554899e+01
2.750000e+09	 18	     0	     2	5.114700775895458e-04	1.189999999999999e+05	5.452565385957887e+02
2.800000e+09	 18	     0	     1	3.606147618847928e-04	1.219999999999999e+05	7.281958575294716e+01
2.850000e+09	 18	     0	     5	6.342207248104830e-04	1.239999999999999e+05	5.995647759582974e+02
2.900000e+09	 18	     0	     9	8.289023493069940e-04	1.269999999999999e+05	1.242545792971291e+02
2.950000e+09	 18	     0	    11	1.024336490269384e-03	1.289999999999999e+05	6.460716141497339e+02
3.000000e+09	 18	     0	    11	1.113646749073028e-03	1.319999999999999e+05	1.629402625501604e+02
3.050000e+09	 18	     0	     3	5.604355324038732e-04	1.339999999999999e+05	6.805451120644796e+02
3.100000e+09	 18	     0	    11	8.585831557432571e-04	1.369999999999999e+05	1.973187881711987e+02
3.150000e+09	 18	     0	     1	3.914534330304795e-04	1.389999999999999e+05	7.124072874351914e+02
3.200000e+09	 18	     0	    11	8.026290660494474e-04	1.419999999999999e+05	2.273809080112376e+02
3.250000e+09	 18	     0	    16	2.323734065326738e-03	1.439999999999999e+05	7.433024362169358e+02
3.300000e+09	 18	     0	     2	5.455585977630632e-04	1.469999999999998e+05	2.570744333384210e+02
3.350000e+09	 18	     0	     9	6.315832751688911e-04	1.489999999999998e+05	7.706276397105443e+02
3.400000e+09	 18	     0	    16	2.521158252169154e-03	1.519999999999998e+05	2.826491116091482e+02
3.450000e+09	 18	     0	     6	4.671068595924861e-04	1.539999999999998e+05	8.011756576490855e+02
3.500000e+09	 18	     0	     5	6.674052527543665e-04	1.569999999999998e+05	3.176430158730902e+02
3.550000e+09	 18	     0	     9	9.103296548557874e-04	1.589999999999998e+05	8.354231255271112e+02
3.600000e+09	 18	     0	    14	2.020428261325242e-03	1.619999999999998e+05	3.507403297797781e+02
3.650000e+09	 18	     0	     6	6.456496096070795e-04	1.639999999999998e+05	8.709025552256622e+02
3.700000e+09	 18	     0	    12	8.899612568182388e-04	1.669999999999998e+05	3.938931315547735e+02
3.750000e+09	 18	     0	     1	3.687353037175507e-04	1.689999999999998e+05	9.178529545088672e+02
3.800000e+09	 18	     0	     6	5.856712039535860e-04	1.719999999999998e+05	4.395940121459158e+02
3.850000e+09	 18	     0	    15	1.571120269859821e-03	1.739999999999998e+05	9.554924799530053e+02
3.900000e+09	 18	     0	     3	4.230536862978502e-04	1.769999999999998e+05	4.712020767306124e+02
3.950000e+09	 18	     0	    15	1.524482198272432e-03	1.789999999999998e+05	9.756266999773125e+02
4.000000e+09	 18	     0	     6	4.947750803558682e-04	1.819999999999998e+05	4.713249562087311e+02
4.050000e+09	 18	     0	     2	5.355581681478243e-04	1.839999999999998e+05	9.753872870653735e+02
4.100000e+09	 18	     0	     1	3.799678329914676e-04	1.869999999999998e+05	4.784067277068422e+02
4.150000e+09	 18	     0	    11	8.109432840917402e-04	1.889999999999998e+05	9.737698166226704e+02
4.200000e+09	 18	     0	     1	4.194976440046520e-04	1.919999999999998e+05	4.686000910182737e+02
4.250000e+09	 18	     0	    11	8.283373752870369e-04	1.939999999999998e+05	9.607451029906782e+02
4.300000e+09	 18	     0	    17	1.261918398361566e-03	1.969999999999998e+05	4.529931704746845e+02
4.350000e+09	 18	     0	     3	4.173654620262637e-04	1.989999999999998e+05	9.431453579983661e+02
4.400000e+09	 18	     0	     1	4.027051773266961e-04	2.019999999999998e+05	4.296410861433209e+02
4.450000e+09	 18	     0	     5	5.561448095849993e-04	2.039999999999998e+05	9.123842218685941e+02
4.500000e+09	 18	     0	     5	6.473279717915126e-04	2.069999999999998e+05	3.901153076210343e+02
4.550000e+09	 18	     0	    17	1.370426470987526e-03	2.089999999999997e+05	8.760729829329132e+02
4.600000e+09	 18	     0	    12	1.617057582294077e-03	2.119999999999997e+05	3.511609557136158e+02
