myid = 2	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/rand03/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/
N_tr	100
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E7
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	1
ETA	3.0E-2
ITE_MAX	2
SOLAR_RADIUS	0.00465040106951872
SOLAR_SYSTEM_LIMIT	100.0
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-7*1)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E8)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
3.600000e+08	  1	    99	    47	5.231281192999677e-03	1.333521432163321e+04	3.170301008421124e+03
3.700000e+08	  1	    99	    84	4.295607262584597e-03	1.333521432163321e+04	3.628725053352029e+03
3.800000e+08	  1	    99	    69	4.189520771224605e-03	1.333521432163321e+04	4.084745850570635e+03
3.900000e+08	  1	    99	     9	4.808539029074414e-03	1.778279410038919e+04	9.062602843569404e+01
collision No.2	1.817225e+04[yr]	i=1, j=23	r_ij=5.699989592225911e-05	radius[1]+radius[23]=5.738186907026921e-05
dE_heat=-1.588611e-10	dE_grav=1.580529e-10	dE_c=4.789070e-19	v_imp=3.255966e-01
4.000000e+08	  1	    98	    10	4.832254013090512e-03	1.778279410038919e+04	5.484283825919111e+02
4.100000e+08	  1	    98	    34	4.805593645681732e-03	1.778279410038919e+04	1.012819277722374e+03
4.200000e+08	  1	    98	    92	5.301127382490589e-03	1.778279410038919e+04	1.478145751414435e+03
collision No.3	1.946911e+04[yr]	i=1, j=91	r_ij=5.727680566915812e-05	radius[1]+radius[91]=5.739923488888914e-05
dE_heat=-1.624778e-10	dE_grav=1.574459e-10	dE_c=-7.086746e-20	v_imp=3.292820e-01
4.300000e+08	  1	    97	    23	4.514876320963335e-03	1.778279410038919e+04	1.946550358011561e+03
4.400000e+08	  1	    97	    36	8.454224912702408e-03	1.778279410038919e+04	2.417277622808623e+03
4.500000e+08	  1	    97	    28	3.867140852269196e-03	1.778279410038919e+04	2.887995582735384e+03
4.600000e+08	  1	    97	    53	7.981041196229310e-03	1.778279410038919e+04	3.362194197175649e+03
4.700000e+08	  1	    97	    92	4.295977884689328e-03	1.778279410038919e+04	3.835334477203487e+03
